local_time,flow_timestamp,src_ip,dst_ip,dst_port,protocol,prediction
16:45:45,2026-04-19 16:09:17,192.168.100.119,18.97.36.52,443,6,NORMAL
16:45:45,2026-04-19 16:09:18,192.168.100.119,20.44.10.123,443,6,NORMAL
16:45:45,2026-04-19 16:09:20,192.168.100.119,100.49.32.167,443,6,NORMAL
16:45:45,2026-04-19 16:09:20,34.120.52.64,192.168.100.119,59932,6,NORMAL
16:45:45,2026-04-19 16:09:38,192.168.100.119,143.204.11.118,443,6,NORMAL
16:45:45,2026-04-19 16:09:45,192.168.100.119,40.127.158.108,443,6,NORMAL
16:45:45,2026-04-19 16:09:25,192.168.100.119,54.85.51.71,443,6,NORMAL
16:45:45,2026-04-19 16:09:25,192.168.100.119,54.85.51.71,443,6,NORMAL
16:45:45,2026-04-19 16:09:45,192.168.100.119,40.127.158.108,443,6,NORMAL
16:45:45,2026-04-19 16:09:25,192.168.100.119,50.85.242.216,443,6,NORMAL
16:45:45,2026-04-19 16:10:00,192.168.100.119,34.238.111.184,443,6,NORMAL
16:45:45,2026-04-19 16:09:39,192.168.100.119,52.205.53.108,443,6,NORMAL
16:45:45,2026-04-19 16:09:46,192.168.100.119,54.163.254.161,443,6,NORMAL
16:45:45,2026-04-19 16:09:59,192.168.100.119,52.1.92.41,443,6,NORMAL
16:45:45,2026-04-19 16:09:59,192.168.100.119,146.75.121.91,443,6,NORMAL
16:45:45,2026-04-19 16:10:00,192.168.100.119,98.89.133.254,443,6,NORMAL
16:45:45,2026-04-19 16:09:39,192.168.100.119,52.73.231.12,443,6,NORMAL
16:45:45,2026-04-19 16:10:16,192.168.100.119,47.89.80.97,443,6,NORMAL
16:45:45,2026-04-19 16:10:15,192.168.100.119,92.122.18.158,443,6,NORMAL
16:45:45,2026-04-19 16:10:17,192.168.100.119,43.109.53.1,443,6,NORMAL
16:45:45,2026-04-19 16:10:18,192.168.100.119,47.246.146.192,443,6,NORMAL
16:45:45,2026-04-19 16:10:19,192.168.100.119,47.246.146.192,443,6,NORMAL
16:45:45,2026-04-19 16:10:19,192.168.100.119,47.246.146.202,443,6,NORMAL
16:45:45,2026-04-19 16:10:20,192.168.100.119,89.207.16.75,443,6,NORMAL
